has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,ast_parse_success,ast_num_dangerous_builtin_calls,ast_num_getattr_obfuscation,ast_num_dynamic_calls,ast_num_imports,ast_num_high_entropy_strings,ast_max_string_entropy,ast_num_functions,ast_max_nesting_depth,package_name,label
1,8,2644,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5.656,1570,2,1,1,2,1,9,1,4.57,0,6,sqlalchemy-install,malicious
1,8,55455,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.107,53412,2,1,6,6,2,40,62,5.614,52,14,httpxrequesterv2,malicious
1,7,2796,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.651,1484,1,1,0,1,1,6,2,5.519,1,10,insanepackageongong192,malicious
1,3,1964,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.991,1735,2,1,3,0,1,2,2,5.59,1,8,httops,malicious
1,7,3505,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.736,1742,1,1,0,1,1,6,1,5.65,1,10,reqeosts,malicious
1,29,98622,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,5.036,39737,17,1,3,0,1,58,17,5.557,67,18,urllib12,malicious
0,11,13808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.304,2822,2,1,2,1,0,7,1,4.242,4,14,extrazip,malicious
1,14,6037,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,5.149,4967,4,1,0,1,1,14,3,5.151,8,15,request,malicious
1,10,151661,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.494,150397,2,1,0,1,1,1,0,3.434,2,10,bloxflipscraper,malicious
1,9,6816,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.609,6060,3,1,3,0,1,7,1,5.582,9,13,pvhttp,malicious
1,8,55499,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.107,53434,2,1,6,6,2,40,62,5.451,52,14,3m-promo-link-gen,malicious
1,7,27920,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.107,26695,1,1,3,3,1,20,31,5.378,26,14,python-cord,malicious
1,7,3623,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.813,1993,1,0,0,0,0,0,0,0.0,0,0,opensa,malicious
1,10,7121591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.522,7114994,2,1,0,0,0,6,1,4.363,0,9,pystiles,malicious
1,10,1713,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.537,847,3,1,1,1,1,3,0,0.0,0,10,web3wallet,malicious
1,7,28026,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.106,26716,1,1,3,3,1,20,31,5.447,26,14,aio-http-proxy-support,malicious
0,7,51258,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.692,46382,1,1,1,6,6,1,4,5.6,0,8,packagescraperlib,malicious
1,3,2030929,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.863,2030465,2,1,0,2,2,4,2,5.781,0,9,libidreq,malicious
1,7,4038,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.816,2163,1,0,0,0,0,0,0,0.0,0,0,temsorflow,malicious
1,9,414207,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.68,317548,1,1,3208,3,0,84,34,5.503,98,29,properxies,malicious
1,7,3772,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.793,1992,1,0,0,0,0,0,0,0.0,0,0,requiremetstxt,malicious
1,3,1689452,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.842,1688986,2,1,0,2,2,4,2,5.781,0,9,cloudfix,malicious
1,13,15079,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,4.996,5449,4,1,4,5,1,11,3,4.27,6,10,networkx-match-algr,malicious
0,569,6071458,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,4.889,40296,6,1,0,1,1,23,14,8.0,72,15,rich-figlet,malicious
1,7,27904,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.107,26688,1,1,3,3,1,20,31,5.432,26,14,n1trobrdr,malicious
0,10,43867,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.924,33874,1,1,4,3,0,19,34,5.355,29,18,requesters,malicious
0,11,8719,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.66,5362,2,1,1,2,1,2,0,0.0,0,6,fernets,malicious
1,8,2697,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5.655,1577,2,1,1,2,1,9,1,4.57,0,6,beautifulsoup-scikit-learn,malicious
1,7,2699,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.699,1549,1,0,0,0,0,0,0,0.0,0,0,etheriumm,malicious
1,3,1422,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.849,903,2,1,0,1,1,7,0,0.0,0,8,relefpots,malicious
1,9,36819,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.921,35208,3,1,4,3,0,19,36,5.483,30,18,pipstyle,malicious
1,7,3061,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.728,1651,1,1,0,1,1,6,2,5.592,1,10,openza,malicious
1,7,2986,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.76,1776,1,0,0,0,0,0,0,0.0,0,0,requirment,malicious
1,76,479989,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,4.613,359933,34,1,3,4,5,257,244,5.7,664,16,invokehttp,malicious
