has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,10,17716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.221,1600,1,randpaypal,malicious
1,10,18640,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.23,1634,1,libsuperhydrainfo,malicious
1,10,18000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.227,1629,1,py-randintel,malicious
1,12,2920,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4.752,1020,2,eepl,malicious
1,7,2827,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.727,1719,1,customtkznter,malicious
1,10,17460,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.223,1598,1,pywstudy,malicious
1,10,17716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.22,1600,1,strreplace,malicious
1,10,18520,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.23,1634,1,libkillrandcandy,malicious
1,10,17588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.22,1599,1,gameproof,malicious
1,3,1186430,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.826,1185955,2,tryhackme-offensive,malicious
1,10,25602,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.855,23971,3,walletsutils,malicious
1,10,36467,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.896,34723,2,more-colors,malicious
1,10,18596,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.212,1583,1,tpmaskvisacontrol,malicious
1,9,3070,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.495,1891,3,helmerter,malicious
1,8,98683,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6.089,98536,2,pipcolouringskits,malicious
1,10,17812,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.242,1688,1,tppullccre,malicious
1,12,2962,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4.752,1026,2,statsmodel,malicious
1,3,749812,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.906,749343,2,panderequests,malicious
1,7,3500,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.755,1742,1,coloramwa,malicious
1,10,17460,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.223,1598,1,ramstudy,malicious
1,10,18596,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.215,1583,1,selfgamevirtualad,malicious
1,10,18648,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.226,1635,1,libcontrolinfostr,malicious
1,7,3351,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.789,1916,1,webt3,malicious
1,10,9478633,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4.197,9476920,4,pydefendermalware123,malicious
1,7,3633,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.74,1777,1,oillow,malicious
1,7,3789,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.821,2013,1,pytcrch,malicious
1,11,110919,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4.762,106011,2,tablates,malicious
0,5,7994,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.617,6908,1,colorate-raimbow,malicious
1,10,18452,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.25,1693,1,libpushmasklgtb,malicious
1,3,67236,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63507,2,reqtrade,malicious
1,10,17940,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.244,1689,1,tppippushvm,malicious
1,3,1673,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.009,1474,2,pthttp,malicious
1,10,18468,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.216,1582,1,py-hydraurlstudy,malicious
1,47,422182,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,4.84,342764,33,rqrqrq,malicious
1,10,5238,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.062,4011,2,xolozamdgbxywf,malicious
1,7,2544,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.623,1408,1,pollow,malicious
1,7,3131,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.765,1831,1,requirmentstxtt,malicious
0,5,5965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.591,5282,1,pythonpathenv,malicious
1,10,18084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.215,1579,1,esqintmaskgui,malicious
1,10,18389,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.226,1633,1,esqencodeadping,malicious
1,10,18896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.227,1636,1,libcontrolramhacked,malicious
1,8,1221,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.608,715,1,srv-configs,malicious
1,10,17716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.223,1600,1,proofultra,malicious
1,128,915311,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,4.699,721202,78,urllib,malicious
1,3,67245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63513,2,discord-pyy,malicious
1,10,18065,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.243,1690,1,py-strramgui,malicious
1,10,17744,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.227,1627,1,tppullkill,malicious
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,scikit-leran,malicious
