has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,ast_parse_success,ast_num_dangerous_builtin_calls,ast_num_getattr_obfuscation,ast_num_dynamic_calls,ast_num_imports,ast_num_high_entropy_strings,ast_max_string_entropy,ast_num_functions,ast_max_nesting_depth,package_name,label
1,8,2644,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.653,1528,2,1,1,0,0,9,1,4.57,0,6,sqlalchemy-install,malicious
1,8,55455,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.107,53294,2,1,4,0,0,40,62,5.614,52,14,httpxrequesterv2,malicious
1,7,2796,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.647,1453,1,1,1,0,0,6,2,5.519,1,10,insanepackageongong192,malicious
1,3,1964,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.976,1704,2,1,3,0,0,2,2,5.566,1,8,httops,malicious
1,7,3505,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.733,1708,1,1,1,0,0,6,1,5.65,1,10,reqeosts,malicious
1,29,98622,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,5.036,39706,17,1,3,0,0,58,17,5.541,67,18,urllib12,malicious
0,11,13808,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.297,2808,2,1,1,0,0,7,1,4.242,4,14,extrazip,malicious
1,14,6037,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,5.148,4939,4,1,1,0,0,14,3,5.151,8,15,request,malicious
1,10,151661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486,150369,2,1,1,0,0,1,0,3.434,2,10,bloxflipscraper,malicious
1,9,6816,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.604,6029,3,1,3,0,0,7,1,5.558,9,13,pvhttp,malicious
1,8,55499,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.107,53316,2,1,4,0,0,40,62,5.451,52,14,3m-promo-link-gen,malicious
1,7,27920,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.107,26633,1,1,2,0,0,20,31,5.378,26,14,python-cord,malicious
1,7,3623,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.81,1950,1,1,1,0,0,6,2,5.624,1,10,opensa,malicious
1,10,7121591,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.522,7114966,2,1,0,0,0,6,1,4.363,0,9,pystiles,malicious
1,10,1713,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.521,816,3,1,2,0,0,3,0,0.0,0,10,web3wallet,malicious
1,7,28026,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.106,26657,1,1,2,0,0,20,31,5.447,26,14,aio-http-proxy-support,malicious
0,7,51258,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.691,46202,1,1,7,0,0,1,4,5.6,0,7,packagescraperlib,malicious
1,3,2030929,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.857,2030403,2,1,2,0,0,4,2,5.781,0,9,libidreq,malicious
1,7,4038,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.812,2123,1,1,1,0,0,6,2,5.632,1,10,temsorflow,malicious
1,9,414207,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,5.68,317475,1,1,3205,0,0,84,34,5.503,98,29,properxies,malicious
1,7,3772,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.791,1949,1,1,1,0,0,6,2,5.642,1,10,requiremetstxt,malicious
1,3,1689452,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.836,1688924,2,1,2,0,0,4,2,5.781,0,9,cloudfix,malicious
1,13,15079,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,4.987,5365,4,1,1,0,0,11,3,4.27,6,10,networkx-match-algr,malicious
0,569,6071458,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4.889,40265,6,1,1,0,0,23,14,8.0,72,15,rich-figlet,malicious
1,7,27904,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.106,26629,1,1,2,0,0,20,31,5.432,26,14,n1trobrdr,malicious
